response_type,inference_path,has_multi,has_likelihood,has_loglik,has_score,uses_wald_ci,uses_wald_test,optimization_via,optim_alg,irls_avail,has_analytic_hess
incidence,Wald,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
ordinal,CauchitRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp cumulative link,Newton-Raphson with finite-difference derivatives and line search,N,Y
ordinal,CloglogRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp cumulative link,Newton-Raphson with finite-difference derivatives and line search,N,Y
ordinal,JonckheereTerpstraTest,N,Y,Y,Y,Y,Y,none/Jonckheere-Terpstra statistic,NA,NA,N
ordinal,KKCLMM,N,Y,Y,Y,Y,Y,ordinal,NA,NA,N
ordinal,KKCLMMCauchit,N,Y,Y,Y,Y,Y,ordinal,NA,NA,N
ordinal,KKCLMMCloglog,N,Y,Y,Y,Y,Y,ordinal,NA,NA,N
ordinal,KKCLMMProbit,N,Y,Y,Y,Y,Y,ordinal,NA,NA,N
ordinal,KKGEE,Y,Y,Y,Y,Y,Y,geepack,NA,NA,N
ordinal,KKGLMM,Y,Y,Y,Y,Y,Y,ourself/Rcpp GLMM,L-BFGS,N,Y
ordinal,OrderedProbitRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp cumulative link,Newton-Raphson with finite-difference derivatives and line search,N,Y
ordinal,PairedSignTest,N,Y,Y,Y,Y,Y,none/sign statistic,NA,NA,N
ordinal,PropOddsRegr,N,Y,Y,Y,Y,Y,ourself/Rcpp cumulative link,Newton-Raphson with finite-difference derivatives and line search,N,Y
ordinal,Ridit,N,Y,Y,Y,Y,Y,none/rank statistic,NA,NA,N
proportion,BetaRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp beta regression,L-BFGS,N,Y
proportion,FractionalLogit,Y,Y,Y,Y,Y,Y,ourself/Rcpp quasi-binomial-style objective,IRLS,Y,Y
proportion,GCompMeanDiff,Y,Y,Y,Y,Y,Y,ourself/nuisance likelihood,NA,N,Y
proportion,KKGEE,Y,Y,Y,Y,Y,Y,geepack,NA,NA,N
proportion,KKGLMM,Y,Y,Y,Y,Y,Y,ourself/Rcpp GLMM,L-BFGS,N,Y
proportion,KKQuantileRegrIVWC,Y,Y,Y,Y,Y,Y,quantreg,NA,NA,N
proportion,KKQuantileRegrOneLik,Y,Y,Y,Y,Y,Y,quantreg,NA,NA,N
proportion,ZeroOneInflatedBetaRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp zero-one-inflated beta,L-BFGS,N,Y
survival,CoxPHRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp Cox partial likelihood,Newton-Raphson,N,Y
